name,Category 1,Category 2,Category 3,Category 4 with a long name,Category 5
Admin,20.85373832,17.6949027,84.86276061,31.5783842,48.20562268
Arts,75.10385606,92.78801932,98.42939789,95.19411478,38.58584155
Retail,64.12511024,36.80002708,38.20913822,4.832285581,31.60393462
Manufacturing,58.04407128,91.82819229,44.15710484,93.53981204,32.06639495
Construction,49.29571885,61.7405718,2.633201818,12.00880742,86.95296893
Health and social work,26.42919394,68.3881695,38.34804204,45.46625342,24.65361361
Transportation and storage,66.02170789,25.88544503,67.54775376,45.4008622,68.65015727
Accommodation and food,24.56805884,89.47462279,49.36685439,50.05168647,65.708543
Other,27.48215082,14.64375439,66.97898751,58.11839376,9.358939682
All businesses,48.97683167,80.16796002,18.79872569,90.21841354,57.08565289
